return,model,alpha,alpha_t,n
gross_return,CAPM,0.0012169375424487157,0.933126850516502,155.0
gross_return,FF3,0.0011884728250664371,0.8375330866561643,155.0
gross_return,FF3_UMD,0.0011329609879385293,0.7852815290852185,155.0
gross_return,FF5,0.0011460002128290004,0.8182012606952241,155.0
gross_return,FF5_UMD,0.0010747292316773014,0.74783302881251,155.0
net_return,CAPM,0.0005896722090453752,0.45700155968869954,155.0
net_return,FF3,0.0005581336934388547,0.39673644381575107,155.0
net_return,FF3_UMD,0.0005010461119404667,0.35029885694462615,155.0
net_return,FF5,0.0005167855550488449,0.3718513363150915,155.0
net_return,FF5_UMD,0.00044331408795488333,0.3109097208649264,155.0
