signal,case,n,ann_mean,sharpe
skew_25d,all,356.0,-0.015662707521416956,-0.10062523863881723
skew_25d,large_cap,356.0,-0.014712855911597458,-0.14035042288780894
skew_25d,ex_microcap,356.0,-0.0396493881855572,-0.3868537768714155
skew_25d,ex_2020,344.0,-0.010154253706431027,-0.06556084782423396
skew_25d,pre_gfc,138.0,0.01030377177244934,0.05245082942562132
skew_25d,post_gfc,194.0,0.0032841061941591473,0.029336644589777826
skew_25d,post_2020,56.0,0.015784591505985893,0.14041726355652823
tail_slope_10p_25p,all,356.0,0.022802572596601567,0.11996127674199365
tail_slope_10p_25p,large_cap,356.0,-0.01967855155677576,-0.13550282528571145
tail_slope_10p_25p,ex_microcap,356.0,0.0022495647587416814,0.018122224153907632
tail_slope_10p_25p,ex_2020,344.0,0.04045912105256249,0.21481456571143373
tail_slope_10p_25p,pre_gfc,138.0,0.05420108547313557,0.2060291553446145
tail_slope_10p_25p,post_gfc,194.0,0.014634654082335498,0.12737124601694422
tail_slope_10p_25p,post_2020,56.0,0.05390920455610414,0.4120927712607124
atm_iv_30,all,356.0,-0.05232679130001423,-0.12456957909426275
atm_iv_30,large_cap,356.0,-0.01068784023675023,-0.029568292396532254
atm_iv_30,ex_microcap,356.0,-0.019912289939113426,-0.05383343521688902
atm_iv_30,ex_2020,344.0,-0.09323367292938434,-0.22679174324237544
atm_iv_30,pre_gfc,138.0,-0.07560325524674243,-0.14143472615002284
atm_iv_30,post_gfc,194.0,-0.05610630152103556,-0.18376834401608771
atm_iv_30,post_2020,56.0,-0.1890172242644703,-0.5530312451498546
